Code,Site,Year,Habitat,sp_richn,fric,fdis,fide_PC1,fide_PC2,fide_PC3
Bullocky_2014,Bullocky,2014,no_kelp,23,0.535980996,0.679091137,-0.029026343,0.019882113,0.041622538
Bullocky_2015,Bullocky,2015,no_kelp,29,0.55397828,0.652620483,0.009569104,-0.006126341,0.022391392
Bullocky_2018,Bullocky,2018,no_kelp,29,0.570897317,0.666527074,0.01775462,0.003383265,0.033594567
Groper_2002,Groper,2002,no_kelp,20,0.553380765,0.678124106,0.03571033,-0.050166263,0.01351059
Groper_2003,Groper,2003,no_kelp,20,0.725923175,0.693709663,0.061063488,-0.015101187,0.009420344
Groper_2004,Groper,2004,no_kelp,20,0.569056501,0.609741886,0.106977181,-0.031923631,0.015307736
Groper_2005,Groper,2005,no_kelp,20,0.623829742,0.723922553,0.045878678,-0.016974616,0.00859324
Groper_2006,Groper,2006,no_kelp,23,0.682637996,0.728349894,0.03725375,-0.04391818,0.002606079
Groper_2007,Groper,2007,no_kelp,21,0.546387888,0.739978907,-0.02529126,-0.041136456,0.015207981
Groper_2008,Groper,2008,no_kelp,27,0.657310367,0.729114294,0.009454631,-0.029048836,0.00610994
Groper_2009,Groper,2009,no_kelp,22,0.623843007,0.735504569,0.035857856,-0.039692838,0.028323353
Groper_2010,Groper,2010,no_kelp,22,0.602771041,0.672419913,0.067119263,-0.037187783,0.008844661
Groper_2011,Groper,2011,no_kelp,27,0.79199881,0.680468005,0.072169928,0.001287132,0.027132378
Groper_2013,Groper,2013,no_kelp,27,0.675014023,0.694631635,0.060286634,0.005874052,0.025802814
Groper_2014,Groper,2014,no_kelp,30,0.691536316,0.709852073,0.022705497,-0.036771877,0.023980624
Groper_2015,Groper,2015,no_kelp,33,0.734117094,0.722710158,0.01857341,-0.005964594,0.017160281
Groper_2018,Groper,2018,no_kelp,31,0.702618546,0.711338453,0.047576465,0.064044731,0.016437758
