Site,Acanthistius ocellatus,Acanthopagrus australis,Achoerodus viridis,Anampses caeruleopunctatus,Anampses neoguinaicus,Apogon limenus,Atractoscion atelodus,Atypichthys strigatus,Austrolabrus maculatus,Bodianus frenchii,Bodianus perditio,Brachaelurus waddi,Canthigaster callisterna,Caranx melampygus,Caranx sexfasciatus,Carcharias taurus,Centropogon australis,Chaetodon flavirostris,Chaetodon guentheri,Chelmonops truncatus,Choerodon venustus,Chrysophrys auratus,Chromis hypsilepis,Chromis weberi,Cirrhilabrus punctatus,Cirrhitichthys aprinus,Coris aygula,Coris dorsomacula,Coris picta,Dasyatis brevicaudata,Dasyatis thetidis,Dicotylichthys punctulatus,Dinolestes lewini,Echeneis naucrates,Enoplosus armatus,Epinephelus cyanopodus,Epinephelus daemelii,Epinephelus fasciatus,Epinephelus undulatostriatus,Eubalichthys mosaicus,Eupetrichthys angustipes,Girella elevata,Glaucosoma scapulare,Gnathanodon speciosus,Goniistius vestitus,Gymnothorax prasinus,Gymnothorax prionodon,Gymnothorax thyrsoidea,Halichoeres nebulosus,Heniochus acuminatus,Hypoplectrodes maccullochi,Kyphosus sydneyanus,Labroides dimidiatus,Lutjanus adetii,Lutjanus fulviflamma,Lutjanus russellii,Mecaenichthys immaculatus,Meuschenia freycineti,Meuschenia scaber,Meuschenia trachylepis,Microcanthus strigatus,Morwong fuscus,Myliobatis australis,Nelusetta ayraud,Nemadactylus douglasii,Notolabrus gymnogenis,Ophthalmolepis lineolata,Orectolobus halei,Orectolobus maculatus,Paracaesio xanthura,Parapercis ramsayi,Parapercis stricticeps,Paraplesiops bleekeri,Parma unifasciata,Parupeneus multifasciatus,Parupeneus spilurus,Pempheris affinis,Pempheris compressa,Plagiotremus tapeinosoma,Pomacentrus coelestis,Prionurus maculatus,Prionurus microlepidotus,Pseudocaranx dentex,Pseudolabrus guentheri,Pseudolabrus luculentus,Pterocaesio digramma,Rachycentron canadum,Rhabdosargus sarba,Sarda australis,Schuettea scalaripinnis,Scorpaena cardinalis,Scorpis lineolata,Seriola dumerili,Seriola hippos,Seriola lalandi,Seriolina nigrofasciata,Seriola rivoliana,Siganus fuscescens,Synodus jaculum,Thalassoma lunare,Thalassoma lutescens,Trachinops taeniatus,Trachurus novaezelandiae,Trachypoma macracanthus,Upeneichthys lineatus,Zanclus cornutus
Bullocky1_2004,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Bullocky1_2005,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bullocky1_2006,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bullocky1_2007,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bullocky1_2008,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,7,0,0,6,95,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bullocky1_2009,0,6,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky1_2010,1,5,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,15,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bullocky1_2011,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,1,0,0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0
Bullocky1_2013,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bullocky1_2014,1,3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0
