"Species","sstmean","MaxSizeTL","Diet","Position","Method","Kmax","Kmax_lowq","Kmax_uppq"
"Lethrinus nebulosus",22.8,87,"InvMob","BnthAs","Otolth",0.112798254936934,0.0996995754539967,0.12742505595088
"Lotella rhacina",22.8,50,"FisCep","BnthAs","Otolth",0.148009911179543,0.134714599698782,0.164884082973003
"Lutjanus adetii",22.8,50,"InvMob","BtPlDw","Otolth",0.134348854422569,0.124291596934199,0.145089894533157
"Lutjanus fulviflamma",22.8,35,"InvMob","BtPlDw","Otolth",0.121961172670126,0.108785377815366,0.13892175629735
"Lutjanus russellii",22.8,50,"FisCep","BtPlDw","Otolth",0.174549773335457,0.159874547272921,0.19131650775671
"Mecaenichthys immaculatus",22.8,12,"Plktiv","BnthAs","Otolth",0.610454887151718,0.518288001418114,0.708298310637474
"Meuschenia flavolineata",22.8,30,"Omnivr","BtPlDw","Otolth",0.316470786929131,0.282583445310593,0.357714302837849
"Meuschenia freycineti",22.8,60,"Omnivr","BtPlDw","Otolth",0.092443585395813,0.082089614123106,0.1025943569839
"Meuschenia scaber",22.8,31,"Omnivr","BtPlDw","Otolth",0.278278604149818,0.240485783666372,0.320796109735966
"Meuschenia trachylepis",22.8,40,"Omnivr","BtPlDw","Otolth",0.273100733757019,0.242949713021517,0.310361318290234
"Microcanthus strigatus",22.8,16,"Omnivr","BtPlDw","Otolth",0.522435367107391,0.468592382967472,0.578392028808594
"Morwong fuscus",22.8,65,"InvMob","BtPlAs","Otolth",0.059143740683794,0.0544127123430371,0.0648664142936468
"Mulloidichthys vanicolensis",22.8,38,"InvMob","BtPlDw","Otolth",0.1290492862463,0.113938936963677,0.148017875850201
"Myliobatis australis",22.8,120,"InvMob","BnthAs","Otolth",0.0631760135293007,0.056926486082375,0.0699103623628616
"Naso unicornis",22.8,70,"HerMac","BtPlDw","Otolth",0.107262428849936,0.0946135576814413,0.119551736861467
"Nelusetta ayraud",22.8,100,"FisCep","BtPlDw","Otolth",0.108317278325558,0.097228217869997,0.120522022247314
"Nemadactylus douglasii",22.8,81,"InvMob","BtPlDw","Otolth",0.131888844072819,0.115994840860367,0.149579122662544
"Notolabrus gymnogenis",22.8,23,"InvMob","BtPlDw","Otolth",0.255015507340431,0.2256427295506,0.284754551947117
"Ophthalmolepis lineolata",22.8,40,"InvMob","BtPlDw","Otolth",0.147154323756695,0.126931507140398,0.170417677611113
"Orectolobus halei",22.8,256,"FisCep","BnthAs","Otolth",0.0438202936202288,0.0383979398757219,0.0500851674005389
"Orectolobus maculatus",22.8,320,"FisCep","BnthAs","Otolth",0.0308485301211476,0.0267807943746448,0.0354307545349002
"Paracaesio xanthura",22.8,50,"Plktiv","BtPlAs","Otolth",0.135493591427803,0.11770280264318,0.15372858941555
"Paracanthurus hepatus",22.8,31,"Plktiv","BnthDw","Otolth",0.182229720056057,0.161020368337631,0.207929473370314
"Parapercis ramsayi",22.8,20,"InvMob","BnthDw","Otolth",0.311291009187698,0.281974300742149,0.338450357317924
"Parapercis stricticeps",22.8,18,"InvMob","BnthDw","Otolth",0.38837768137455,0.350151039659977,0.430266633629799
"Paraplesiops bleekeri",22.8,40,"InvMob","BnthDw","Otolth",0.180722042918205,0.155324529856443,0.210232023149729
