"Code","A_australis","A_bengalensis","A_caeruleopunctatus","A_chinensis","A_dussumeri","A_limenus","A_lophodon","A_maculatus","A_monoceros","A_narinari","A_ocellatus","A_strigatus","A_viridis","B_frenchii","B_perditio","B_waddi","C_auratus","C_australis","C_callisterna","C_dorsomacula","C_flavirostris","C_guentheri","C_hypsilepis","C_picta","C_taurus","C_tibicen","C_truncatus","C_venustus","D_brevicaudata","D_lewini","E_angustipes","E_armatus","E_daemelii","E_fasciatus","E_mosaicus","E_naucrates","E_undulatostriatus","G_prasinus","G_prionodon","G_scapulare","G_thyrsoidea","G_vestitus","H_acuminatus","H_galeatus","H_maccullochi","K_sydneyanus","L_adetii","L_dimidiatus","L_fulviflamma","L_nebulosus","L_rhacina","L_russelli","M_australis","M_flavolineata","M_freycineti","M_fuscus","M_immaculatus","M_trachylepis","M_vanicolensis","N_ayraudi","N_douglasii","N_gymnogenis","O_halei","O_lineolata","O_maculatus","P_affinis","P_compressa","P_dentex","P_digramma","P_flavomaculatus","P_guentheri","P_laticlavius","P_luculentus","P_maculatus","P_microlepidotus","P_multifasciatus","P_ramsayi","P_spilurus","P_striticeps","P_teira","P_unifasciata","P_xanthura","R_sarba","S_australis","S_cardinalis","S_chrysopterus","S_dumerili","S_fuscensens","S_hippos","S_interrupta","S_jaculum","S_lalandi","S_lineolata","S_rivoliana","S_scalaripinnis","T_fasciata","T_lunare","T_lutescens","T_novaezelandiae","T_taeniatus","U_lineatus"
"Sawtell_2009",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1
"Sawtell_2010",8,0,0,0,0,0,1,1,0,0,4,1,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,15,1,0,0,4,0,0,2,0,0,0,2,0,0,2,0,0,7,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,47,0
"Sawtell_2011",4,0,0,0,0,0,0,3,0,0,1,60,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9,2,11,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,7,0,0,0,12,0,0,0,0,0,0,0,37,0,0,0,0,0,88,25,0
"Sawtell_2013",0,0,0,0,0,0,0,1,0,0,3,18,1,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,2,12,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Sawtell_2014",4,0,1,0,0,0,0,0,0,0,2,36,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,1,6,1,8,1,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,11,0,3,1,4,0,0,0,0,0,0,0,66,0,0,0,0,1,18,0,0
"Sawtell_2015",0,0,0,0,0,0,0,0,0,0,1,185,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,1,5,0,0,0,0,0,0,2,0,0,0,33,0,0,1,0,0,11,0,4,0,5,0,0,0,0,0,0,0,33,0,0,0,1,1,87,0,0
"Sawtell_2018",2,0,0,0,0,0,0,3,0,0,4,42,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,1,5,1,0,0,0,0,0,3,0,0,0,5,0,0,1,0,0,7,0,0,0,4,0,0,1,0,0,0,0,5,0,0,0,1,0,18,64,0
"SplitBommieN_2002",2,0,0,0,0,0,0,0,0,0,0,205,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
"SplitBommieN_2003",2,0,0,0,0,0,0,1,0,0,1,19,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,8,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,3,0,8,0,2,0,0,1,0,0,0,0,44,0,1,0,1,0,0,0,0
"SplitBommieN_2004",0,0,0,0,0,0,0,1,0,0,0,96,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0
