Site,Habitat,Year,Transect,PQ,Turf_CCA,Coral,Ecklonia radiata,Other,Macroalgae,Sand,Sponge,Other_invertebrate
Bare_Bluff,Inshore,2019,7,P3210344.JPG,8,0,0,5,0,12,0,0
Bare_Bluff,Inshore,2019,7,P3210345.JPG,5,0,5,7,5,0,3,0
Bare_Bluff,Inshore,2019,7,P3210346.JPG,8,0,3,2,5,0,7,0
Bare_Bluff,Inshore,2019,7,P3210347.JPG,2,0,10,8,2,1,2,0
Bare_Bluff,Inshore,2019,7,P3210348.JPG,9,0,0,5,8,0,3,0
Bare_Bluff,Inshore,2019,7,P3210349.JPG,9,0,0,8,3,3,2,0
Bare_Bluff,Inshore,2019,7,P3210350.JPG,4,0,0,5,9,1,6,0
Bare_Bluff,Inshore,2019,7,P3210351.JPG,1,0,8,8,3,0,5,0
Bare_Bluff,Inshore,2019,7,P3210352.JPG,7,0,0,4,9,0,5,0
Split,Midshelf,2019,1,SplitP3200455.JPG,14,9,0,0,0,1,1,0
Split,Midshelf,2019,1,SplitP3200456.JPG,1,17,0,0,0,0,6,1
Split,Midshelf,2019,1,SplitP3200457.JPG,3,6,0,0,0,0,10,6
Split,Midshelf,2019,1,SplitP3200458.JPG,6,0,0,0,0,0,19,0
Split,Midshelf,2019,1,SplitP3200459.JPG,12,2,0,1,0,0,9,1
Split,Midshelf,2019,1,SplitP3200460.JPG,10,4,0,1,0,1,6,3
Split,Midshelf,2019,1,SplitP3200461.JPG,4,5,0,0,1,0,13,2
Split,Midshelf,2019,1,SplitP3200462.JPG,12,5,0,0,0,4,4,0
Split,Midshelf,2019,1,SplitP3200463.JPG,10,0,0,0,0,1,14,0
Split,Midshelf,2019,1,SplitP3200464.JPG,4,0,0,1,0,0,19,1
Split,Midshelf,2019,1,SplitP3200465.JPG,15,1,0,0,0,0,9,0
Split,Midshelf,2019,2,SplitP3200467.JPG,11,4,0,0,0,7,2,1
Split,Midshelf,2019,2,SplitP3200468.JPG,8,0,0,2,0,1,14,0
Split,Midshelf,2019,2,SplitP3200469.JPG,7,2,0,1,6,2,7,0
Split,Midshelf,2019,2,SplitP3200470.JPG,3,0,0,1,13,4,4,0
Split,Midshelf,2019,2,SplitP3200471.JPG,15,0,0,1,2,0,4,3
Split,Midshelf,2019,2,SplitP3200472.JPG,4,0,0,4,9,0,8,0
Split,Midshelf,2019,2,SplitP3200473.JPG,6,0,0,0,7,0,12,0
Split,Midshelf,2019,2,SplitP3200474.JPG,11,0,0,1,9,0,3,1
Split,Midshelf,2019,2,SplitP3200475.JPG,7,0,0,1,11,3,3,0
Split,Midshelf,2019,3,SplitP3200479.JPG,17,0,0,2,3,0,3,0
Split,Midshelf,2019,3,SplitP3200480.JPG,22,0,0,1,0,0,2,0
Split,Midshelf,2019,3,SplitP3200482.JPG,4,14,0,0,0,0,7,0
Split,Midshelf,2019,3,SplitP3200483.JPG,3,0,0,0,0,0,22,0
Split,Midshelf,2019,3,SplitP3200484.JPG,4,0,0,0,2,0,19,0
Split,Midshelf,2019,3,SplitP3200485.JPG,5,0,0,2,0,0,18,0
Split,Midshelf,2019,4,SplitP3200495.JPG,15,3,0,0,0,4,3,0
Split,Midshelf,2019,4,SplitP3200496.JPG,15,0,0,1,0,0,9,0
Split,Midshelf,2019,4,SplitP3200497.JPG,7,0,0,2,1,0,15,0
Split,Midshelf,2019,4,SplitP3200498.JPG,11,1,0,2,0,0,11,0
Split,Midshelf,2019,4,SplitP3200499.JPG,0,1,0,2,0,1,21,0
Split,Midshelf,2019,4,SplitP3200500.JPG,0,0,0,2,0,0,23,0
Surgeons,Midshelf,2019,1,P3190553.JPG,14,8,0,2,0,1,0,0
Surgeons,Midshelf,2019,1,P3190554.JPG,11,6,0,1,0,0,7,0
Surgeons,Midshelf,2019,1,P3190555.JPG,13,6,0,1,0,0,4,1
Surgeons,Midshelf,2019,1,P3190556.JPG,17,3,0,2,1,0,2,0
Surgeons,Midshelf,2019,1,P3190557.JPG,8,12,0,1,0,3,1,0
Surgeons,Midshelf,2019,1,P3190558.JPG,12,1,0,0,0,0,11,1
Surgeons,Midshelf,2019,1,P3190559.JPG,20,2,0,1,1,0,1,0
Surgeons,Midshelf,2019,2,P3190560.JPG,6,5,0,14,0,0,0,0
Surgeons,Midshelf,2019,2,P3190561.JPG,19,0,0,6,0,0,0,0
Surgeons,Midshelf,2019,2,P3190562.JPG,9,1,0,1,0,0,12,2
Surgeons,Midshelf,2019,2,P3190563.JPG,6,0,0,2,0,0,17,0
Surgeons,Midshelf,2019,2,P3190564.JPG,13,3,0,1,1,5,2,0
Surgeons,Midshelf,2019,2,P3190565.JPG,10,0,0,3,1,1,5,5
Surgeons,Midshelf,2019,2,P3190566.JPG,11,1,0,3,0,0,10,0
Surgeons,Midshelf,2019,2,P3190567.JPG,17,5,0,0,0,0,2,1
Surgeons,Midshelf,2019,2,P3190568..JPG,17,1,0,2,0,0,5,0
Surgeons,Midshelf,2019,3,P3190569..JPG,21,0,0,2,0,0,1,1
Surgeons,Midshelf,2019,3,P3190570.JPG,25,0,0,0,0,0,0,0
Surgeons,Midshelf,2019,3,P3190571.JPG,7,11,0,3,0,0,4,0
Surgeons,Midshelf,2019,3,P3190572.JPG,15,4,0,4,0,0,2,0
Surgeons,Midshelf,2019,3,P3190573.JPG,4,18,0,2,0,0,1,0
Surgeons,Midshelf,2019,3,P3190574.JPG,20,0,0,1,0,0,2,2
Surgeons,Midshelf,2019,4,P3190575.JPG,1,5,0,18,0,0,0,1
Surgeons,Midshelf,2019,4,P3190576.JPG,9,14,0,0,2,0,0,0
Surgeons,Midshelf,2019,4,P3190577.JPG,15,6,0,4,0,0,0,0
Surgeons,Midshelf,2019,4,P3190578.JPG,15,7,0,0,0,0,3,0
Surgeons,Midshelf,2019,4,P3190579.JPG,6,10,0,5,0,4,0,0
Surgeons,Midshelf,2019,4,P3190580.JPG,14,0,0,0,0,0,11,0
Surgeons,Midshelf,2019,4,P3190581.JPG,17,2,0,2,0,0,4,0
Surgeons,Midshelf,2019,5,P3190582..JPG,13,7,0,2,0,0,3,0
Surgeons,Midshelf,2019,5,P3190584.JPG,8,6,0,10,1,0,0,0
Surgeons,Midshelf,2019,5,P3190585.JPG,0,2,0,3,0,0,20,0
Surgeons,Midshelf,2019,5,P3190586.JPG,14,0,0,11,0,0,0,0
Surgeons,Midshelf,2019,5,P3190587.JPG,0,2,0,8,14,0,0,1
Surgeons,Midshelf,2019,5,P3190588.JPG,0,0,0,6,0,1,18,0
Surgeons,Midshelf,2019,5,P3190589.JPG,6,1,0,13,4,0,1,0
Surgeons,Midshelf,2019,5,P3190590...JPG,2,5,0,9,8,0,1,0
Surgeons,Midshelf,2019,6,P3190593.JPG,0,0,0,1,8,3,11,2
Surgeons,Midshelf,2019,6,P3190595.JPG,5,0,0,17,1,0,2,0
Surgeons,Midshelf,2019,6,P3190597.JPG,14,0,0,6,0,0,4,1
Surgeons,Midshelf,2019,6,P3190598.JPG,16,1,0,5,2,0,1,0
Surgeons,Midshelf,2019,6,P3190599.JPG,15,7,0,1,0,0,1,1
Surgeons,Midshelf,2019,6,P3190600.JPG,17,7,0,0,0,0,0,1
Surgeons,Midshelf,2019,6,P3190601...JPG,19,4,0,2,0,0,0,0
Surgeons,Midshelf,2019,6,P3190602...JPG,8,14,0,1,0,0,1,1
Surgeons,Midshelf,2019,7,P3190603.JPG,15,3,0,4,0,1,0,2
Surgeons,Midshelf,2019,7,P3190604.JPG,5,14,0,1,0,0,4,1
Surgeons,Midshelf,2019,7,P3190605.JPG,18,3,0,1,0,0,2,1
Surgeons,Midshelf,2019,7,P3190606.JPG,10,5,0,9,0,0,0,1
Surgeons,Midshelf,2019,7,P3190607.JPG,11,4,0,8,0,0,1,1
Surgeons,Midshelf,2019,7,P3190608.JPG,22,3,0,0,0,0,0,0
Surgeons,Midshelf,2019,7,P3190609.JPG,12,1,0,1,0,11,0,0
Surgeons,Midshelf,2019,7,P3190610.JPG,8,8,0,7,0,0,2,0
Surgeons,Midshelf,2019,8,P3190613.JPG,17,0,0,3,0,3,0,2
Surgeons,Midshelf,2019,8,P3190614.JPG,13,1,0,2,0,0,9,0
Surgeons,Midshelf,2019,8,P3190615.JPG,10,7,0,4,1,0,2,1
Surgeons,Midshelf,2019,8,P3190616.JPG,5,11,0,9,0,0,0,0
Surgeons,Midshelf,2019,8,P3190617.JPG,11,9,0,1,0,0,4,0
